,age,location,family_size,studytime,attendance,english,math,science,social_science,art_culture,total_score,average_score,stu_group
1824,18,0,4,6,71,97,84,85,100,97,463,92.6,2
1825,16,0,3,8,89,89,98,92,93,94,466,93.2,2
1826,17,0,2,3,55,58,48,56,45,65,272,54.4,0
1827,15,1,5,6,92,68,69,81,82,74,374,74.8,1
1828,16,1,5,2,56,40,57,50,61,63,271,54.2,0
1829,16,2,5,1,85,61,65,68,69,44,307,61.4,0
1830,17,2,7,7,87,81,92,92,82,97,444,88.8,2
1831,15,0,6,5,60,68,74,80,79,73,374,74.8,1
1832,17,1,7,5,74,81,77,73,72,71,374,74.8,1
1833,17,2,6,7,82,87,96,86,94,92,455,91.0,2
1834,18,1,7,8,68,100,92,81,90,85,448,89.6,2
1835,15,1,5,7,96,91,86,80,85,92,434,86.8,2
1836,17,0,3,2,52,55,47,67,67,50,286,57.2,0
1837,16,0,6,2,67,70,62,64,53,65,314,62.8,0
1838,17,0,2,1,51,63,67,49,53,44,276,55.2,0
1839,16,0,4,2,84,53,50,59,86,67,315,63.0,0
1840,16,0,2,8,66,86,100,90,86,84,446,89.2,2
1841,16,1,2,2,58,59,47,47,51,49,253,50.6,0
1842,17,0,4,3,72,54,48,54,69,53,278,55.6,0
1843,17,0,2,3,60,44,37,42,58,44,225,45.0,0
1844,16,0,5,5,73,82,69,69,73,74,367,73.4,1
1845,17,0,5,6,80,78,69,76,79,80,382,76.4,1
1846,17,0,6,8,89,90,93,98,96,88,465,93.0,2
1847,16,1,6,3,52,40,64,53,53,72,282,56.4,0
1848,17,1,3,7,79,93,86,93,82,84,438,87.6,2
1849,17,0,2,6,58,74,69,70,77,81,371,74.2,1
1850,16,2,3,1,61,52,49,63,51,45,260,52.0,0
1851,17,1,6,7,74,94,98,94,96,89,471,94.2,2
1852,17,2,3,4,59,69,68,72,76,73,358,71.6,1
1853,17,1,5,1,58,48,43,67,71,61,290,58.0,0
1854,18,0,3,1,55,48,56,42,42,51,239,47.8,0
1855,15,0,3,8,84,94,82,98,95,99,468,93.6,2
1856,17,0,2,2,86,51,48,41,68,69,277,55.4,0
1857,16,2,6,4,50,72,67,80,75,72,366,73.2,1
1858,15,1,6,6,87,80,86,87,97,100,450,90.0,2
1859,16,1,5,2,53,61,48,58,61,51,279,55.8,0
1860,16,1,5,7,86,86,94,96,100,97,473,94.6,2
1861,15,2,7,5,74,78,77,73,76,81,385,77.0,1
1862,17,0,4,6,82,94,98,96,94,91,473,94.6,2
1863,17,2,5,6,84,76,67,77,79,72,371,74.2,1
1864,17,2,7,3,70,45,37,58,52,57,249,49.8,0
1865,17,1,4,8,69,85,92,98,83,97,455,91.0,2
1866,16,2,5,1,50,60,70,53,49,65,297,59.4,0
1867,17,0,5,3,63,55,59,59,65,61,299,59.8,0
1868,16,2,2,8,73,91,92,89,89,92,453,90.6,2
1869,15,2,4,6,62,70,82,80,72,78,382,76.4,1
1870,17,1,7,4,69,78,78,81,80,69,386,77.2,1
1871,16,0,4,7,97,85,98,96,95,81,455,91.0,2
1872,15,0,7,2,92,61,34,56,44,61,256,51.2,0
1873,15,2,5,1,87,70,50,60,50,54,284,56.8,0
1874,17,0,4,5,58,80,78,69,86,71,384,76.8,1
1875,15,0,5,6,100,88,86,98,84,93,449,89.8,2
1876,17,1,2,2,63,53,57,66,49,51,276,55.2,0
1877,15,2,3,7,92,96,89,81,100,93,459,91.8,2
1878,18,2,4,1,62,55,65,59,47,57,283,56.6,0
1879,16,1,7,4,62,71,70,74,69,86,370,74.0,1
1880,16,0,4,5,53,82,75,75,82,76,390,78.0,1
1881,16,0,5,6,83,83,83,83,99,98,446,89.2,2
1882,18,0,6,6,80,73,70,72,79,73,367,73.4,1
1883,18,2,7,4,55,78,70,82,82,80,392,78.4,1
1884,16,1,2,8,71,80,89,93,94,96,452,90.4,2
1885,16,2,3,8,69,91,86,90,98,100,465,93.0,2
1886,17,1,2,4,83,73,77,71,72,80,373,74.6,1
1887,17,2,6,2,68,45,67,61,45,69,287,57.4,0
1888,16,1,3,6,85,92,94,100,83,92,461,92.2,2
1889,16,0,5,8,73,81,83,97,82,93,436,87.2,2
1890,17,1,2,4,75,73,73,73,75,73,367,73.4,1
1891,16,1,5,7,81,100,83,97,87,85,452,90.4,2
1892,15,0,3,4,92,79,81,74,82,81,397,79.4,1
1893,17,0,3,8,86,86,95,87,94,95,457,91.4,2
1894,16,1,5,1,81,41,45,58,55,69,268,53.6,0
1895,16,2,2,7,74,96,95,91,87,97,466,93.2,2
1896,18,0,5,1,93,67,63,48,57,63,298,59.6,0
1897,17,1,5,4,59,71,67,70,72,69,349,69.8,1
1898,16,1,6,4,91,69,75,79,69,78,370,74.0,1
1899,16,0,7,6,81,71,81,82,82,69,385,77.0,1
1900,17,1,5,4,55,77,72,82,82,71,384,76.8,1
1901,17,2,6,1,65,58,50,68,54,76,306,61.2,0
1902,16,2,5,2,73,62,67,65,45,61,300,60.0,0
1903,16,1,6,2,56,62,44,65,62,69,302,60.4,0
1904,15,0,3,8,78,94,80,100,91,89,454,90.8,2
1905,16,1,6,1,56,62,60,42,86,72,322,64.4,0
1906,15,1,7,4,59,75,72,78,81,76,382,76.4,1
1907,18,2,5,6,87,100,81,99,86,87,453,90.6,2
1908,16,2,7,7,80,92,82,81,80,91,426,85.2,2
1909,17,2,7,5,64,78,73,77,69,86,383,76.6,1
1910,16,2,5,5,53,76,77,76,80,80,389,77.8,1
1911,16,1,4,6,55,75,71,73,86,71,376,75.2,1
1912,15,1,2,6,76,81,69,72,86,76,384,76.8,1
1913,16,1,3,6,69,75,72,76,69,72,364,72.8,1
1914,17,2,3,3,62,57,59,59,57,69,301,60.2,0
1915,15,1,2,4,65,79,80,78,86,71,394,78.8,1
1916,18,1,5,1,70,42,48,45,59,54,248,49.6,0
1917,17,2,7,7,66,98,91,91,99,96,475,95.0,2
1918,17,0,6,4,61,72,73,79,68,72,364,72.8,1
1919,18,2,4,7,82,82,91,86,92,97,448,89.6,2
1920,16,0,2,1,58,62,68,70,67,61,328,65.6,0
1921,17,0,3,8,87,88,99,91,95,83,456,91.2,2
1922,17,0,2,8,68,90,99,82,84,96,451,90.2,2
1923,16,0,5,8,85,96,82,95,90,92,455,91.0,2
1924,18,1,6,5,61,69,70,82,79,74,374,74.8,1
1925,17,1,3,2,55,53,57,70,59,64,303,60.6,0
1926,16,1,6,8,90,91,86,82,92,100,451,90.2,2
1927,18,2,4,7,92,84,97,81,97,95,454,90.8,2
1928,17,1,2,6,91,94,93,80,81,89,437,87.4,2
1929,17,0,5,2,69,49,41,50,54,76,270,54.0,0
1930,17,0,6,7,68,98,93,94,86,91,462,92.4,2
1931,17,1,3,4,85,73,81,79,75,79,387,77.4,1
1932,17,1,3,5,59,77,69,81,71,77,375,75.0,1
1933,15,0,2,4,87,68,78,77,79,92,394,78.8,1
1934,15,2,2,6,87,68,81,72,68,71,360,72.0,1
1935,17,1,2,2,59,55,51,64,86,45,301,60.2,0
1936,18,2,7,1,60,40,34,43,64,71,252,50.4,0
1937,17,0,6,4,80,71,67,70,77,76,361,72.2,1
1938,16,2,5,1,60,50,48,59,63,69,289,57.8,0
1939,16,1,2,3,55,54,37,65,65,58,279,55.8,0
1940,17,2,6,6,75,69,81,76,74,78,378,75.6,1
1941,17,1,6,6,56,73,75,69,68,72,357,71.4,1
1942,16,2,5,1,65,41,69,70,57,50,287,57.4,0
1943,17,1,2,6,67,97,96,98,81,81,453,90.6,2
1944,15,1,2,1,65,40,56,65,71,51,283,56.6,0
1945,16,1,2,4,91,77,82,82,77,71,389,77.8,1
1946,17,2,3,6,81,82,75,75,76,81,389,77.8,1
1947,17,2,2,6,70,84,92,99,97,96,468,93.6,2
1948,15,2,3,1,56,61,60,51,51,47,270,54.0,0
1949,15,2,6,2,56,50,37,69,53,53,262,52.4,0
1950,16,0,5,1,52,49,51,44,86,61,291,58.2,0
1951,17,1,7,1,72,59,52,57,65,44,277,55.4,0
1952,16,1,3,7,68,85,92,92,84,96,449,89.8,2
1953,17,0,7,5,93,77,80,77,82,76,392,78.4,1
1954,17,0,4,1,77,57,70,55,86,69,337,67.4,0
1955,15,2,2,7,82,91,82,81,95,92,441,88.2,2
1956,18,1,6,2,71,41,70,50,66,47,274,54.8,0
1957,16,1,2,1,54,41,52,65,66,61,285,57.0,0
1958,17,0,5,6,79,78,73,79,77,80,387,77.4,1
1959,17,0,3,6,82,82,85,86,87,85,425,85.0,2
1960,17,1,2,8,83,85,86,85,83,88,427,85.4,2
1961,16,0,5,3,69,42,61,57,67,66,293,58.6,0
1962,18,2,5,6,87,86,92,99,95,100,472,94.4,2
1963,17,2,3,6,66,79,70,82,82,77,390,78.0,1
1964,17,2,5,6,69,82,69,81,77,78,387,77.4,1
1965,16,0,5,6,84,94,95,95,81,85,450,90.0,2
1966,17,2,3,3,75,45,65,40,44,76,270,54.0,0
1967,17,2,3,3,56,45,48,68,57,54,272,54.4,0
1968,17,2,7,5,69,78,67,73,71,74,363,72.6,1
1969,16,1,5,8,73,88,80,93,95,91,447,89.4,2
1970,17,1,5,1,72,56,66,61,47,44,274,54.8,0
1971,16,2,6,6,90,96,84,94,97,93,464,92.8,2
1972,15,2,6,1,87,40,44,70,57,45,256,51.2,0
1973,16,1,6,4,57,71,68,71,76,72,358,71.6,1
1974,16,0,6,6,94,94,92,97,96,84,463,92.6,2
1975,16,2,6,6,65,82,68,71,77,80,378,75.6,1
1976,15,0,3,4,74,69,70,81,82,72,374,74.8,1
1977,17,2,7,7,89,99,98,90,92,83,462,92.4,2
1978,16,1,4,5,72,82,82,68,77,74,383,76.6,1
1979,17,1,2,1,71,42,37,60,62,58,259,51.8,0
1980,17,1,6,7,90,92,96,97,97,93,475,95.0,2
1981,16,1,2,6,84,70,67,74,82,77,370,74.0,1
1982,17,0,5,3,62,57,59,67,65,76,324,64.8,0
1983,17,2,6,3,86,50,48,63,43,71,275,55.0,0
1984,16,2,3,5,94,69,82,82,72,72,377,75.4,1
1985,17,0,2,6,81,80,82,97,81,89,429,85.8,2
1986,17,0,4,2,69,60,52,64,45,66,287,57.4,0
1987,17,0,5,5,79,74,81,77,80,74,386,77.2,1
1988,16,0,7,1,85,42,70,59,65,47,283,56.6,0
1989,18,0,4,3,65,54,45,49,53,72,273,54.6,0
1990,16,2,6,4,72,70,82,76,74,72,374,74.8,1
1991,16,2,6,7,92,80,97,96,94,97,464,92.8,2
1992,18,1,7,6,75,70,68,73,68,77,356,71.2,1
1993,16,1,7,2,82,60,45,44,61,49,259,51.8,0
1994,16,1,3,2,61,42,60,47,47,69,265,53.0,0
1995,17,1,2,1,64,69,43,52,41,61,266,53.2,0
1996,17,0,7,6,78,69,70,78,81,77,375,75.0,1
1997,17,1,7,2,57,53,49,58,44,67,271,54.2,0
1998,18,0,7,7,78,89,90,85,96,90,450,90.0,2
1999,16,0,3,8,90,100,97,89,85,92,463,92.6,2
2000,17,0,6,1,91,44,64,56,66,62,292,58.4,0
2001,18,2,6,7,96,94,86,81,96,91,448,89.6,2
2002,18,2,5,5,68,80,69,75,74,76,374,74.8,1
2003,16,0,7,3,84,62,48,64,68,61,303,60.6,0
2004,16,1,4,4,83,74,80,78,71,72,375,75.0,1
2005,16,0,3,4,84,79,71,68,69,81,368,73.6,1
2006,16,1,2,8,83,99,92,90,88,90,459,91.8,2
2007,15,0,3,1,68,51,43,59,86,72,311,62.2,0
2008,18,2,5,6,77,84,84,88,87,92,435,87.0,2
2009,15,2,6,6,89,95,86,95,90,92,458,91.6,2
2010,17,0,7,8,72,82,95,98,84,90,449,89.8,2
2011,17,1,3,4,57,75,78,70,72,74,369,73.8,1
2012,18,1,6,5,60,71,74,71,82,86,384,76.8,1
2013,17,0,2,6,66,90,85,91,84,92,442,88.4,2
2014,17,1,5,5,63,73,72,79,68,92,384,76.8,1
2015,17,1,2,3,64,61,54,55,43,44,257,51.4,0
2016,17,2,5,6,95,71,72,75,69,92,379,75.8,1
2017,18,0,4,6,72,99,100,81,100,87,467,93.4,2
2018,17,2,5,2,68,65,50,40,71,66,292,58.4,0
2019,17,2,6,5,63,82,82,77,77,79,397,79.4,1
2020,15,0,7,8,94,91,82,95,100,85,453,90.6,2
2021,15,0,2,8,85,82,93,85,98,95,453,90.6,2
2022,17,2,5,1,69,50,51,59,59,44,263,52.6,0
2023,17,2,5,8,84,99,93,85,94,92,463,92.6,2
2024,17,0,3,7,82,98,86,92,94,90,460,92.0,2
2025,17,2,7,7,82,99,97,87,85,92,460,92.0,2
2026,15,2,5,7,78,98,94,93,82,91,458,91.6,2
2027,16,2,3,1,59,42,45,40,55,69,251,50.2,0
2028,16,0,5,2,75,44,44,54,51,61,254,50.8,0
2029,16,2,3,5,58,69,78,72,86,76,381,76.2,1
2030,17,0,3,6,51,77,73,74,79,75,378,75.6,1
2031,17,2,7,4,74,72,81,71,76,73,373,74.6,1
2032,16,2,7,5,65,69,67,76,81,69,362,72.4,1
2033,17,2,7,4,85,71,74,79,75,86,385,77.0,1
2034,17,1,2,1,58,64,56,59,65,61,305,61.0,0
2035,15,0,5,8,94,95,94,92,99,88,468,93.6,2
2036,17,0,4,6,80,87,93,89,86,90,445,89.0,2
2037,16,0,5,4,69,77,70,70,72,79,368,73.6,1
2038,17,2,6,3,73,44,51,45,66,67,273,54.6,0
2039,15,1,4,5,61,71,72,73,78,78,372,74.4,1
2040,17,0,3,2,86,60,48,56,64,76,304,60.8,0
2041,18,0,2,7,74,96,81,87,89,93,446,89.2,2
2042,17,0,2,6,71,84,80,86,90,90,430,86.0,2
2043,17,2,4,6,73,93,84,82,90,91,440,88.0,2
2044,16,0,2,6,69,92,80,83,90,90,435,87.0,2
2045,17,0,2,2,75,61,59,55,53,76,304,60.8,0
2046,15,0,7,1,69,48,43,40,41,61,233,46.6,0
2047,17,2,6,6,87,81,99,93,90,93,456,91.2,2
2048,18,2,7,2,59,57,47,54,57,49,264,52.8,0
2049,16,0,7,6,87,69,68,74,71,81,363,72.6,1
2050,15,0,2,6,85,91,92,91,82,97,453,90.6,2
2051,16,0,5,6,63,75,75,71,82,79,382,76.4,1
2052,16,2,2,8,84,98,81,87,80,99,445,89.0,2
2053,17,0,6,2,65,68,59,59,62,61,309,61.8,0
2054,15,0,3,5,61,76,78,78,86,80,398,79.6,1
2055,17,0,4,4,63,68,70,73,77,79,367,73.4,1
2056,17,1,4,2,83,58,60,64,86,61,329,65.8,0
2057,18,2,7,1,77,51,56,44,67,63,281,56.2,0
2058,16,0,7,7,84,80,82,86,97,99,444,88.8,2
2059,15,2,5,6,84,94,81,87,99,95,456,91.2,2
2060,15,1,2,3,71,55,69,63,61,54,302,60.4,0
2061,17,1,4,3,64,64,60,66,86,65,341,68.2,0
2062,17,0,4,1,61,41,44,63,41,54,243,48.6,0
2063,18,0,2,7,71,94,85,91,99,90,459,91.8,2
2064,17,2,7,6,67,95,91,91,82,91,450,90.0,2
2065,18,0,2,8,71,97,95,92,87,84,455,91.0,2
2066,17,0,5,4,67,74,81,81,82,80,398,79.6,1
2067,17,0,6,7,83,94,89,91,81,94,449,89.8,2
2068,17,0,7,6,93,73,82,72,68,81,376,75.2,1
2069,16,0,7,7,73,83,93,92,99,91,458,91.6,2
2070,17,2,5,1,63,41,63,48,43,67,262,52.4,0
2071,17,0,4,6,65,82,68,75,79,75,379,75.8,1
2072,16,0,2,1,62,57,52,44,48,61,262,52.4,0
2073,16,1,3,2,71,40,61,52,65,76,294,58.8,0
2074,17,0,3,1,57,52,50,62,61,49,274,54.8,0
2075,16,2,4,7,69,97,92,88,80,91,448,89.6,2
2076,18,0,3,5,69,74,70,74,86,79,383,76.6,1
2077,17,1,4,4,72,79,68,69,76,78,370,74.0,1
2078,17,0,7,5,72,69,77,70,71,86,373,74.6,1
2079,16,2,3,1,66,61,63,49,42,64,279,55.8,0
2080,17,1,2,1,71,64,62,67,62,62,317,63.4,0
2081,17,1,3,1,62,59,59,59,57,58,292,58.4,0
2082,17,2,5,7,84,92,97,89,100,80,458,91.6,2
2083,16,1,7,4,91,79,81,79,80,76,395,79.0,1
2084,17,0,5,6,88,79,81,68,78,92,398,79.6,1
2085,16,2,6,3,86,51,45,44,41,50,231,46.2,0
2086,17,0,4,7,97,80,97,100,86,90,453,90.6,2
2087,17,0,6,3,71,70,48,69,69,45,301,60.2,0
2088,16,0,2,6,87,83,100,100,98,98,479,95.8,2
2089,17,2,4,7,81,100,82,92,94,83,451,90.2,2
2090,15,2,6,2,92,63,65,44,52,65,289,57.8,0
2091,17,2,2,4,53,73,78,71,77,92,391,78.2,1
2092,17,0,6,8,67,82,98,92,82,96,450,90.0,2
2093,18,0,6,1,85,44,59,40,61,69,273,54.6,0
2094,17,1,4,3,67,56,62,66,57,71,312,62.4,0
2095,17,2,3,5,61,82,82,68,76,75,383,76.6,1
2096,16,0,7,6,81,83,90,88,90,84,435,87.0,2
2097,15,0,6,8,90,81,89,86,90,92,438,87.6,2
2098,17,2,5,3,61,44,41,43,62,72,262,52.4,0
2099,17,2,7,7,89,82,95,83,92,88,440,88.0,2
2100,16,2,7,6,57,70,73,81,76,72,372,74.4,1
2101,16,1,6,3,58,58,47,43,67,69,284,56.8,0
2102,17,1,5,5,95,73,70,79,71,76,369,73.8,1
2103,18,2,4,6,90,78,77,71,86,81,393,78.6,1
2104,17,0,2,8,85,91,80,96,88,87,442,88.4,2
2105,16,1,2,4,93,82,80,72,76,78,388,77.6,1
2106,17,2,2,4,63,82,70,77,86,86,401,80.2,1
2107,17,0,7,5,56,73,70,75,69,76,363,72.6,1
2108,16,1,6,3,81,40,49,68,71,64,292,58.4,0
2109,17,1,6,3,71,63,50,45,57,61,276,55.2,0
2110,17,0,3,5,65,74,82,68,76,76,376,75.2,1
2111,17,1,2,2,58,51,34,42,65,58,250,50.0,0
2112,16,0,6,4,87,79,78,73,80,76,386,77.2,1
2113,17,1,2,4,62,69,78,74,71,75,367,73.4,1
2114,16,0,7,7,75,94,85,93,100,84,456,91.2,2
2115,16,0,3,6,94,97,85,80,81,93,436,87.2,2
2116,17,1,2,4,62,76,71,75,86,81,389,77.8,1
2117,15,2,6,6,85,78,72,71,78,76,375,75.0,1
2118,18,1,4,6,62,78,73,76,75,72,374,74.8,1
2119,17,2,3,6,90,90,98,94,97,93,472,94.4,2
2120,18,0,2,4,74,74,78,81,86,92,411,82.2,1
2121,17,2,3,6,73,88,89,91,97,100,465,93.0,2
2122,17,0,4,6,68,87,82,84,100,92,445,89.0,2
2123,16,1,3,2,71,53,48,45,45,72,263,52.6,0
2124,16,0,2,8,78,90,85,89,97,94,455,91.0,2
2125,15,0,2,5,51,73,78,74,72,72,369,73.8,1
2126,16,0,5,3,54,52,48,59,49,72,280,56.0,0
2127,15,1,5,3,66,64,59,59,52,61,295,59.0,0
2128,15,2,5,3,72,55,48,41,50,67,261,52.2,0
2129,15,2,2,5,64,75,73,70,74,72,364,72.8,1
2130,16,0,2,2,65,42,52,54,53,69,270,54.0,0
2131,17,2,6,8,78,90,94,100,88,92,464,92.8,2
2132,15,0,3,3,53,65,34,67,63,49,278,55.6,0
2133,17,2,5,3,71,69,43,43,62,45,262,52.4,0
2134,16,0,4,6,90,81,80,85,91,98,435,87.0,2
2135,18,1,6,5,72,69,72,82,71,69,363,72.6,1
2136,16,0,7,6,81,76,73,76,78,76,379,75.8,1
2137,16,1,4,2,59,42,65,51,43,58,259,51.8,0
2138,17,0,6,1,55,62,50,58,56,66,292,58.4,0
2139,16,1,7,8,71,94,95,97,89,81,456,91.2,2
2140,16,2,4,1,86,47,44,55,59,54,259,51.8,0
2141,16,0,3,6,86,91,94,80,95,93,453,90.6,2
2142,18,0,3,2,86,43,64,69,86,62,324,64.8,0
2143,15,1,2,1,82,62,37,44,64,52,259,51.8,0
2144,17,2,6,6,65,76,73,71,79,76,375,75.0,1
2145,17,1,6,4,83,70,69,81,75,80,375,75.0,1
2146,16,0,5,1,66,56,52,42,48,66,264,52.8,0
2147,17,1,3,7,98,96,100,88,83,93,460,92.0,2
2148,16,0,4,4,90,73,70,77,81,78,379,75.8,1
2149,17,2,6,8,68,96,90,89,97,97,469,93.8,2
2150,18,0,6,7,85,92,82,83,100,99,456,91.2,2
2151,17,2,5,8,68,93,84,94,82,93,446,89.2,2
2152,16,0,5,6,50,78,78,77,77,72,382,76.4,1
2153,16,1,2,3,54,60,69,66,44,53,292,58.4,0
2154,15,2,4,7,69,89,92,97,82,99,459,91.8,2
2155,15,0,4,4,60,68,71,79,74,86,378,75.6,1
2156,17,0,3,5,76,69,73,75,77,69,363,72.6,1
2157,16,1,5,5,61,77,81,68,79,72,377,75.4,1
2158,16,1,7,7,94,84,98,98,98,88,466,93.2,2
2159,17,1,3,5,60,74,67,71,69,77,358,71.6,1
2160,16,1,5,6,86,92,100,97,95,83,467,93.4,2
2161,17,0,2,4,76,80,72,81,80,80,393,78.6,1
2162,18,0,2,3,67,61,67,64,56,72,320,64.0,0
2163,18,0,3,1,69,45,56,59,54,72,286,57.2,0
2164,17,2,3,6,81,90,100,82,81,88,441,88.2,2
2165,17,1,4,8,83,82,82,88,87,91,430,86.0,2
2166,16,0,7,5,69,76,78,80,76,71,381,76.2,1
2167,17,2,5,4,94,78,69,82,75,76,380,76.0,1
2168,18,1,5,6,63,75,77,75,82,75,384,76.8,1
2169,16,2,5,3,68,65,49,61,41,69,285,57.0,0
2170,17,1,5,6,71,92,100,81,93,96,462,92.4,2
2171,15,1,6,5,95,73,71,75,68,92,379,75.8,1
2172,18,2,6,6,86,80,90,99,89,98,456,91.2,2
2173,16,0,6,2,61,62,63,66,59,44,294,58.8,0
2174,16,1,6,2,71,69,69,43,71,61,313,62.6,0
2175,17,1,4,2,82,45,69,62,57,64,297,59.4,0
2176,18,1,6,6,100,82,82,87,84,98,433,86.6,2
2177,17,2,7,1,51,59,64,59,57,69,308,61.6,0
2178,18,0,6,5,74,78,75,68,76,72,369,73.8,1
2179,18,0,3,6,91,81,89,88,80,90,428,85.6,2
2180,16,1,2,6,84,94,95,84,83,81,437,87.4,2
2181,17,2,4,6,68,98,83,95,96,92,464,92.8,2
2182,18,0,5,3,55,58,48,52,69,58,285,57.0,0
2183,17,0,5,5,50,79,68,80,68,75,370,74.0,1
2184,17,2,5,7,92,97,81,98,90,88,454,90.8,2
2185,18,1,6,3,66,44,54,44,69,57,268,53.6,0
2186,17,2,5,6,82,83,92,85,80,100,440,88.0,2
2187,17,1,4,8,73,95,81,90,97,92,455,91.0,2
2188,16,0,7,1,91,60,65,52,86,72,335,67.0,0
2189,17,2,5,7,99,98,82,80,84,98,442,88.4,2
2190,16,0,5,6,82,86,82,94,85,100,447,89.4,2
2191,17,2,6,7,90,92,85,85,81,91,434,86.8,2
2192,17,1,6,3,63,49,44,62,55,52,262,52.4,0
2193,16,1,5,4,84,73,71,78,79,69,370,74.0,1
2194,16,2,2,3,61,69,67,55,86,51,328,65.6,0
2195,17,0,2,6,57,72,82,76,72,76,378,75.6,1
2196,15,2,4,7,84,97,90,91,87,89,454,90.8,2
2197,16,0,5,8,78,96,89,87,88,89,449,89.8,2
2198,16,2,3,2,70,50,47,42,66,61,266,53.2,0
2199,17,0,5,6,65,77,80,81,73,77,388,77.6,1
2200,16,1,5,4,76,74,72,81,86,73,386,77.2,1
2201,17,2,2,6,77,79,82,79,80,75,395,79.0,1
2202,16,2,6,6,73,77,80,80,77,86,400,80.0,1
2203,16,2,4,6,79,79,75,73,71,78,376,75.2,1
2204,16,2,3,8,83,81,83,84,99,84,431,86.2,2
2205,16,2,5,2,55,41,44,68,64,65,282,56.4,0
2206,18,2,7,6,92,82,67,79,82,77,387,77.4,1
2207,18,2,7,2,93,54,70,41,54,58,277,55.4,0
2208,15,1,5,4,92,78,71,69,78,86,382,76.4,1
2209,17,2,7,8,95,86,89,91,92,100,458,91.6,2
2210,17,2,2,6,57,68,70,70,77,81,366,73.2,1
2211,17,2,5,6,81,81,73,75,77,86,392,78.4,1
2212,17,1,4,1,58,57,53,43,59,49,261,52.2,0
2213,18,1,5,6,71,95,86,87,85,81,434,86.8,2
2214,16,1,2,8,100,92,99,81,92,96,460,92.0,2
2215,16,2,4,6,90,82,92,90,84,90,438,87.6,2
2216,17,0,6,8,71,92,98,90,83,99,462,92.4,2
2217,15,0,5,1,61,63,49,68,49,51,280,56.0,0
2218,17,2,5,6,88,81,73,78,81,74,387,77.4,1
2219,17,0,4,5,64,82,70,73,71,86,382,76.4,1
2220,17,0,5,5,62,69,68,77,75,75,364,72.8,1
2221,17,2,4,7,83,85,97,89,92,94,457,91.4,2
2222,16,2,2,2,50,52,64,66,59,47,288,57.6,0
2223,16,0,7,7,75,83,94,85,86,88,436,87.2,2
2224,16,1,4,3,58,44,59,59,61,45,268,53.6,0
2225,16,1,4,2,56,55,49,54,63,61,282,56.4,0
2226,16,1,5,5,66,80,72,74,80,72,378,75.6,1
2227,17,0,7,4,77,76,70,82,77,76,381,76.2,1
2228,16,2,7,1,65,63,61,41,42,58,265,53.0,0
2229,17,1,2,3,64,57,67,52,58,67,301,60.2,0
2230,16,2,3,6,72,84,97,95,100,95,471,94.2,2
2231,17,1,3,8,98,81,81,89,98,94,443,88.6,2
2232,15,2,2,6,95,80,80,81,71,92,404,80.8,1
2233,15,0,3,2,77,40,59,40,68,63,270,54.0,0
2234,17,2,3,4,57,71,69,71,76,72,359,71.8,1
2235,17,0,5,6,81,80,100,80,99,83,442,88.4,2
2236,17,0,5,8,73,95,82,95,91,92,455,91.0,2
2237,17,0,6,8,69,81,86,83,83,90,423,84.6,2
2238,15,0,2,8,78,97,89,86,100,80,452,90.4,2
2239,18,0,5,6,93,86,96,98,90,90,460,92.0,2
2240,17,1,5,1,62,56,56,59,65,69,305,61.0,0
2241,15,2,3,5,83,81,72,69,68,81,371,74.2,1
2242,18,2,2,2,66,69,44,41,65,52,271,54.2,0
2243,16,1,3,1,58,49,54,44,58,51,256,51.2,0
2244,18,0,5,5,94,80,68,68,75,77,368,73.6,1
2245,17,0,6,8,71,88,92,96,96,86,458,91.6,2
2246,15,2,4,7,78,99,98,98,80,84,459,91.8,2
2247,17,0,3,6,85,99,80,100,88,91,458,91.6,2
2248,17,2,3,8,82,98,92,83,97,90,460,92.0,2
2249,16,0,6,4,76,80,77,72,79,78,386,77.2,1
2250,17,0,5,6,97,93,93,84,83,91,444,88.8,2
2251,16,2,6,7,84,90,97,97,95,98,477,95.4,2
2252,16,1,6,5,65,69,67,73,76,72,357,71.4,1
2253,17,1,5,5,58,71,72,76,77,75,371,74.2,1
2254,17,0,2,6,89,100,85,84,81,81,431,86.2,2
2255,16,1,6,2,59,43,62,69,42,64,280,56.0,0
2256,16,0,6,7,97,81,86,91,93,100,451,90.2,2
2257,15,2,7,4,55,70,78,73,74,72,367,73.4,1
2258,17,0,4,2,65,42,70,68,67,76,323,64.6,0
2259,17,0,2,4,61,80,69,74,71,71,365,73.0,1
2260,15,0,4,3,50,49,52,55,68,58,282,56.4,0
2261,16,2,7,7,73,83,98,82,84,83,430,86.0,2
2262,16,2,7,1,85,54,57,56,86,61,314,62.8,0
2263,17,0,5,5,56,79,71,81,75,86,392,78.4,1
2264,16,2,3,7,81,93,80,93,100,97,463,92.6,2
2265,16,2,4,4,66,71,80,76,74,71,372,74.4,1
2266,17,0,2,1,59,68,51,40,61,69,289,57.8,0
2267,17,2,3,2,56,53,59,50,59,86,307,61.4,0
2268,18,1,6,3,56,66,63,44,56,54,283,56.6,0
2269,15,0,6,6,82,88,95,100,92,83,458,91.6,2
2270,16,2,2,1,50,53,48,58,47,47,253,50.6,0
2271,17,2,7,2,50,44,44,61,86,72,307,61.4,0
2272,18,1,5,8,93,97,82,88,81,85,433,86.6,2
2273,16,2,6,5,79,78,68,79,69,72,366,73.2,1
